stop_id,stop_code,stop_name,stop_lat,stop_lon,stop_desc,wheelchair_boarding,platform_code,location_type,parent_station,stop_timezone,stop_url,tts_stop_name,zone_id,Capital Needs
5092,5092,STEUBEN ST + UNION AVE FS (NOBLE AVE),40.43896,-80.062707,,,,0,,,,,,
880,880,PERRYSVILLE AVE + #1923,40.461598,-80.013489,,,,0,,,,,,
20462,20462,BEDFORD AVE + ERIN ST,40.447053,-79.981005,,,,0,,,,,,
10010455,BLR378,S Braddock Ave + Edgerton Ave,40.4433127,-79.8967916,,0,,0,,,,,,"ADA pad, Crosswalk"
3304,3304,FREEPORT RD + WESTERN AVE,40.490614,-79.907452,,,,0,,,,,,
10010380,BLR102,Perry Hwy + Good Ln,40.5392067,-80.0364129,,0,,0,,,,,,Parking restriction
21230,21230,LEBANON SCHOOL RD + LIVINGSTON RD FS,40.346299,-79.926305,,,,0,,,,,,
21614,21614,BRADDOCK AVE + 2ND ST,40.406151,-79.873535,,,,0,,,,,,
19612,19612,SILVER LANE + FALCK FS,40.462752,-80.139462,,,,0,,,,,,
11212,11212,HWY RT 51 + BLUE FLAME,40.304798,-79.933545,,,,0,,,,,,
13603,13603,HAYMAKER RD + CLOVER DR,40.442193,-79.760116,,,,0,,,,,,
12567,12567,6TH ST + BALDRIDGE,40.40573,-79.863463,,,,0,,,,,,
3235,3235,CALIFORNIA AVE + KUNKLE WAY,40.460087,-80.025955,,,,0,,,,,,
569,569,PERRY HWY + CLARWIN,40.505238,-80.028571,,,,0,,,,,,
9122,9122,FRANKSTOWN AVE + JULIUS ST,40.459623,-79.911281,,,,0,,,,,,
11651,11651,AMITY ST + 10TH AVE,40.405702,-79.909335,,,,0,,,,,,
2631,2631,CENTRE AVE + NEVILLE ST,40.45269,-79.949541,,,,0,,,,,,
11121,11121,WHITAKER WAY + LARKSPUR,40.403261,-79.890045,,,,0,,,,,,
10010389,BLR114,Brighton Rd + W North Ave,40.4541236,-80.0147145,,0,,0,,,,,,
8788,8788,CENTRE AVE + CRAIG ST,40.451825,-79.952152,,,,0,,,,,,
1432,1432,OHIO RIVER BLVD + FISK,40.50139,-80.074861,,,,0,,,,,,
1197,1197,PENN AVE + 40TH ST,40.465262,-79.957734,,,,0,,,,,,
10963,10963,8TH AVE + ANN FS,40.407894,-79.909069,,,,0,,,,,,
17737,17737,WATERFRONT DR + BRIDGE ST. (RED ROBIN),40.409498,-79.916568,,,,0,,,,,,
18312,18312,SOUTH COMMONS + FEDERAL FS,40.450461,-80.003891,,,,0,,,,,,
19619,19619,CHARTIERS AVE + DUBOIS,40.451355,-80.05053,,,,0,,,,,,
20585,20585,EAST PITTSBURGH-MCKEESPORT BLVD + FAIRMONT ST,40.36222,-79.830647,,,,0,,,,,,
11583,11583,ST JOSEPH ST + COMO (STEPS),40.413538,-79.979195,,,,0,,,,,,
20077,20077,CENTRE AVE + ELMORE ST FS,40.444974,-79.977283,,,,0,,,,,,
8860,8860,LINCOLN AVE + LEMINGTON HOME DRVWY,40.471112,-79.892066,,,,0,,,,,,
10010261,BLR316,Evans St,40.3386446,-79.8498459,,0,,0,,,,,,
22764,22624,COMMONWEALTH AVE + OVERLAND AVE,40.381496,-79.859785,,,,0,,,,,,
20104,20104,PENN AVE + GRANT,40.4047383,-79.8255874,,,,0,,,,,,
9244,9244,COLUMBO ST + #5134,40.469789,-79.940218,,,,0,,,,,,
1613,1613,BRIGHTON RD + DAVIS,40.481541,-80.033551,,,,0,,,,,,
10010218,BLR074,5th Ave + Lincoln Hwy,40.3813367,-79.8117528,,0,,0,,,,,,Crosswalk
90,99916,DENISE STATION,40.399855,-79.999029,,,,0,,,,,,
14164,14164,FRANKSTOWN RD + 1ST REFORMED CHURCH,40.481163,-79.822136,,,,0,,,,,,
8186,8186,NEGLEY AVE + BROAD ST,40.464603,-79.930093,,,,0,,,,,,
877,877,PERRYSVILLE AVE + #1664,40.461227,-80.009012,,,,0,,,,,,
4788,4788,ARLINGTON AVE + DENGLER,40.41724,-79.967731,,,,0,,,,,,
9757,9757,BROWNSVILLE RD + AUDBERT,40.351399,-79.988518,,,,0,,,,,,
18770,18770,BROADWAY ST + 11TH,40.474094,-80.077943,,,,0,,,,,,
1952,1952,CALIFORNIA AVE + FALCK AVE,40.477976,-80.040361,,,,0,,,,,,
