stop_id,stop_code,stop_name,stop_lat,stop_lon,mode,mode_type,route_code,MUNI,HOOD,B_W_202505,B_S_202505,B_U_202505,R_W_202505
N13950,20179,CENTER AVE AT NORWICH ST,40.5178,-80.0231,BUS,BUS,8,"West View borough (Allegheny, PA)",,1.71,0.4,2,0
N13990,851,CENTER AVE AT PARK AVE,40.5115,-80.0275,BUS,BUS,8,"West View borough (Allegheny, PA)",,7.71,1.8,2.2,0.05
N14000,923,CENTER AVE AT PARK AVE,40.5113,-80.0275,BUS,BUS,8,"West View borough (Allegheny, PA)",,1,1.2,0.8,0.05
N14030,852,CENTER AVE AT PERRYSVILLE RD,40.51,-80.0283,BUS,BUS,8,"West View borough (Allegheny, PA)",,2.14,2,1.2,0
N14040,922,CENTER AVE AT PERRYSVILLE RD,40.5098,-80.0283,BUS,BUS,8,"West View borough (Allegheny, PA)",,1.81,1,0.6,0.05
N14120,927,CENTER AVE AT RIDGEWOOD AVE STEPS,40.5151,-80.023,BUS,BUS,8,"West View borough (Allegheny, PA)",,2,3.4,1.8,0.1
N14150,20180,CENTER AVE OPP NORWICH ST,40.5176,-80.0232,BUS,BUS,8,"West View borough (Allegheny, PA)",,2.05,1.8,1.6,0
N14200,931,CENTER AVE AT TOWNSHIP RD,40.5189,-80.0252,BUS,BUS,8,"West View borough (Allegheny, PA)",,0.38,0.2,0,0
N14310,847,CENTER AVE OPP RIDGEWOOD AVE STEPS,40.5151,-80.0232,BUS,BUS,8,"West View borough (Allegheny, PA)",,4.19,4,1,0
N19120,839,FEDERAL ST AT ALPINE ST,40.4589,-80.0079,BUS,BUS,8,"Pittsburgh city (Allegheny, PA)",Central Northside,7.81,1.6,3.2,0.1
N19170,875,FEDERAL ST AT HENDERSON ST,40.4588,-80.0076,BUS,BUS,8,"Pittsburgh city (Allegheny, PA)",Central Northside,8.48,3.2,2.4,0.1
N19270,873,FEDERAL ST AT NORTH AVE FS,40.4559,-80.0067,BUS,BUS,8,"Pittsburgh city (Allegheny, PA)",Central Northside,34.05,18.4,13.4,0.24
N19290,840,FEDERAL ST AT SAMPSONIA WAY,40.4577,-80.0075,BUS,BUS,8,"Pittsburgh city (Allegheny, PA)",Central Northside,11.57,5.6,1.8,0.38
N38390,627,NORTH AVE AT CEDAR AVE (AGH),40.4561,-80.0029,BUS,BUS,8,"Pittsburgh city (Allegheny, PA)",Allegheny Center,28.29,10,7.6,0.19
N38770,625,NORTH AVE OPP BOYLE ST,40.4556,-80.0057,BUS,BUS,8,"Pittsburgh city (Allegheny, PA)",Allegheny Center,14.1,6,6.6,0.19
N38840,626,NORTH AVE OPP SANDUSKY ST,40.4557,-80.0047,BUS,BUS,8,"Pittsburgh city (Allegheny, PA)",Allegheny Center,13.14,4.8,2.2,0.05
N42120,641,PERRY HWY AT CEMETERY LN,40.5033,-80.0248,BUS,BUS,8,"Ross township (Allegheny, PA)",,0,0,0,0
N42430,19327,PERRY HWY AT MCDONALDS,40.5179,-80.0291,BUS,BUS,8,"West View borough (Allegheny, PA)",,8.86,10.8,5.6,0.14
N42660,563,PERRY HWY OPP #328,40.5186,-80.0268,BUS,BUS,8,"West View borough (Allegheny, PA)",,1.24,1.4,0.4,0.05
N42670,636,PERRYSVILLE AVE AT #4146,40.494,-80.0217,BUS,BUS,8,"Pittsburgh city (Allegheny, PA)",Perry North,1.81,0.8,0.4,0
N42810,639,PERRY HWY AT WEST VIEW AVE,40.5001,-80.0218,BUS,BUS,8,"Ross township (Allegheny, PA)",,0.33,0.4,0.4,0
N43080,573,PERRY HWY OPP IVORY AVE,40.4983,-80.0204,BUS,BUS,8,"Ross township (Allegheny, PA)",,1.76,1.4,1.4,0
N43130,651,PERRY HWY AT VFW,40.5177,-80.03,BUS,BUS,8,"West View borough (Allegheny, PA)",,1,2,1,0.05
N43190,650,PERRY HWY AT #328,40.5184,-80.0277,BUS,BUS,8,"West View borough (Allegheny, PA)",,0.67,1.2,0.2,0
N43200,576,PERRYSVILLE AVE AT PERRYVIEW AVE,40.4938,-80.0221,BUS,BUS,8,"Pittsburgh city (Allegheny, PA)",Perry North,5.14,4,1.6,0
N43230,569,PERRY HWY OPP CLARWIN AVE,40.5052,-80.0286,BUS,BUS,8,"Ross township (Allegheny, PA)",,0.1,0,0,0
N43255,572,PERRY HWY OPP WEST VIEW AVE FS,40.4999,-80.0217,BUS,BUS,8,"Ross township (Allegheny, PA)",,3.38,2.8,1.6,0
N43300,577,PERRYSVILLE AVE AT BASCOM ST,40.493,-80.022,BUS,BUS,8,"Pittsburgh city (Allegheny, PA)",Perry North,38.1,21.4,12.6,0.05
N43310,635,PERRYSVILLE AVE AT VINCETON ST,40.4928,-80.0217,BUS,BUS,8,"Pittsburgh city (Allegheny, PA)",Perry North,5.52,3.4,2.8,0.05
N43330,633,PERRYSVILLE AVE AT FRANKLIN RD FS,40.4905,-80.0188,BUS,BUS,8,"Pittsburgh city (Allegheny, PA)",Perry North,5.52,3.6,1.2,0
N43350,828,PERRYSVILLE AVE AT BURGESS ST,40.4677,-80.0099,BUS,BUS,8,"Pittsburgh city (Allegheny, PA)",Perry South,54.9,35.4,19,0.62
N43360,887,PERRYSVILLE AVE AT BURGESS ST,40.4675,-80.0098,BUS,BUS,8,"Pittsburgh city (Allegheny, PA)",Perry South,11.57,9.4,8.6,0.57
N43370,825,PERRYSVILLE AVE AT N CHARLES ST,40.4711,-80.0087,BUS,BUS,8,"Pittsburgh city (Allegheny, PA)",Perry South,20.14,13.8,11,0
N43380,890,PERRYSVILLE AVE AT N CHARLES ST,40.4709,-80.0085,BUS,BUS,8,"Pittsburgh city (Allegheny, PA)",Perry South,4.48,2.8,2.8,0.24
N43390,902,PERRYSVILLE AVE AT CHERRYFIELD ST,40.4851,-80.0155,BUS,BUS,8,"Pittsburgh city (Allegheny, PA)",Perry North,0.67,0.6,0.4,0
N43395,884,PERRYSVILLE AVE AT CLAYTON AVE,40.4641,-80.0113,BUS,BUS,8,"Pittsburgh city (Allegheny, PA)",Perry South,1.86,1.2,1.4,0
N43400,897,PERRYSVILLE AVE AT DELAWARE ST,40.4796,-80.0117,BUS,BUS,8,"Pittsburgh city (Allegheny, PA)",Perry North,2.33,1.8,1.2,0
N43430,906,PERRYSVILLE AVE AT EAST ST,40.4893,-80.0182,BUS,BUS,8,"Pittsburgh city (Allegheny, PA)",Perry North,7.95,4.8,1.6,0
N43440,824,PERRYSVILLE AVE AT ELLZEY ST,40.4718,-80.0101,BUS,BUS,8,"Pittsburgh city (Allegheny, PA)",Perry South,19.62,13.4,8.2,0.48
N43445,891,PERRYSVILLE AVE OPP ELLZEY ST,40.4718,-80.0099,BUS,BUS,8,"Pittsburgh city (Allegheny, PA)",Perry South,9.43,7.2,2.8,0.19
N43450,837,PERRYSVILLE AVE AT FEDERAL ST,40.4612,-80.0089,BUS,BUS,8,"Pittsburgh city (Allegheny, PA)",Central Northside,20.38,10.8,4.4,0.1
N43470,823,PERRYSVILLE AVE AT HAWKINS ST,40.4726,-80.0104,BUS,BUS,8,"Pittsburgh city (Allegheny, PA)",Perry South,,,,
N43480,892,PERRYSVILLE AVE AT HAWKINS ST,40.4725,-80.0103,BUS,BUS,8,"Pittsburgh city (Allegheny, PA)",Perry South,,,,
N43500,19326,PERRYSVILLE AVE AT KENNEDY AVE FS,40.4743,-80.0105,BUS,BUS,8,"Pittsburgh city (Allegheny, PA)",Perry South,17.57,8.2,4,0
N43510,893,PERRYSVILLE AVE AT KENNEDY AVE,40.4742,-80.0104,BUS,BUS,8,"Pittsburgh city (Allegheny, PA)",Perry South,2.76,1.6,0.4,0.05
N43540,885,PERRYSVILLE AVE AT LAFAYETTE AVE,40.4648,-80.0114,BUS,BUS,8,"Pittsburgh city (Allegheny, PA)",Perry South,1.76,1.6,0.4,0
N43550,881,PERRYSVILLE AVE AT LANGLEY ST,40.4625,-80.0133,BUS,BUS,8,"Pittsburgh city (Allegheny, PA)",Perry South,2.19,1.6,0.8,0.05
N43560,821,PERRYSVILLE AVE AT MARSHALL AVE,40.4751,-80.0116,BUS,BUS,8,"Pittsburgh city (Allegheny, PA)",Perry North,12.9,3,2.6,0.05
N43565,819,PERRYSVILLE AVE AT MARSHALL RD,40.4783,-80.0121,BUS,BUS,8,"Pittsburgh city (Allegheny, PA)",Perry North,15.81,6.4,3.8,0
N43590,833,PERRYSVILLE AVE AT MCCLINTOCK AVE,40.463,-80.0138,BUS,BUS,8,"Pittsburgh city (Allegheny, PA)",Perry South,11.05,7,4,0.05
N43620,827,PERRYSVILLE AVE AT MCINTYRE AVE,40.4689,-80.0093,BUS,BUS,8,"Pittsburgh city (Allegheny, PA)",Perry South,14.48,6.4,4.6,0.1
N43630,888,PERRYSVILLE AVE AT MCINTYRE AVE,40.4687,-80.0094,BUS,BUS,8,"Pittsburgh city (Allegheny, PA)",Perry South,1.86,1.2,0.8,0.05
N43660,879,PERRYSVILLE AVE OPP O'HERN ST,40.4604,-80.0133,BUS,BUS,8,"Pittsburgh city (Allegheny, PA)",Perry South,0.52,0,0,0
N43670,809,PERRYSVILLE AVE AT PERRY ACADEMY,40.4893,-80.0183,BUS,BUS,8,"Pittsburgh city (Allegheny, PA)",Perry North,37.62,9.2,8.4,0
N43680,904,PERRYSVILLE AVE AT RICHEY AVE,40.4867,-80.0161,BUS,BUS,8,"Pittsburgh city (Allegheny, PA)",Perry North,2.14,2.8,0.4,0
N43710,877,PERRYSVILLE AVE AT #1664,40.4612,-80.009,BUS,BUS,8,"Pittsburgh city (Allegheny, PA)",Perry South,3.71,1.4,2,0.05
N43790,895,PERRYSVILLE AVE AT #3000,40.4761,-80.0123,BUS,BUS,8,"Pittsburgh city (Allegheny, PA)",Perry North,0.81,1.2,1,0
N43810,899,PERRYSVILLE AVE AT #3436,40.4831,-80.013,BUS,BUS,8,"Pittsburgh city (Allegheny, PA)",Perry North,0,0,0,0
