block_group_geoid,population,lat,lon
420030305001,37,40.444642,-79.985564
420030305001,36,40.443184,-79.983064
420030305001,34,40.445487,-79.982934
420030305001,31,40.443176,-79.986903
420030305001,29,40.445247,-79.982369
420030305001,26,40.444618,-79.983874
420030305001,26,40.444096,-79.983366
420030305001,25,40.443624,-79.985643
420030305001,23,40.444851,-79.984438
420030305001,20,40.446472,-79.984275
420030305001,20,40.443424,-79.986264
420030305001,17,40.444070,-79.986314
420030305001,15,40.444853,-79.981665
420030305001,15,40.443886,-79.984867
420030305001,15,40.442656,-79.985653
420030305001,13,40.444592,-79.986332
420030305001,12,40.447395,-79.985127
420030305001,8,40.444374,-79.981915
420030305001,6,40.443856,-79.987419
420030305002,165,40.441255,-79.983075
420030305002,93,40.442933,-79.980189
420030305002,90,40.440057,-79.981512
420030305002,90,40.438596,-79.982384
420030305002,83,40.441581,-79.982319
420030305002,75,40.440833,-79.985224
420030305002,69,40.439994,-79.980426
420030305002,63,40.441250,-79.984231
420030305002,55,40.438641,-79.979179
420030305002,40,40.440100,-79.979312
420030305002,34,40.442190,-79.981248
420030305002,29,40.439021,-79.984500
420030305002,28,40.438689,-79.984527
420030305002,26,40.441445,-79.979543
420030305002,26,40.439438,-79.984381
420030305002,25,40.439600,-79.983127
420030305002,24,40.438941,-79.982349
420030305002,17,40.440479,-79.983680
420030305002,13,40.438933,-79.976907
420030305002,10,40.439329,-79.979197
420030305003,565,40.439799,-79.988339
420030305003,165,40.439269,-79.993115
420030305003,18,40.439213,-79.987313
420030402001,379,40.438136,-79.970258
420030402001,189,40.438067,-79.966529
420030402001,80,40.440674,-79.966580
420030402001,64,40.442892,-79.966369
420030402001,63,40.439222,-79.967402
420030402001,39,40.441896,-79.967308
420030402001,37,40.442409,-79.967667
420030402001,37,40.440061,-79.966109
420030402001,37,40.438354,-79.976341
420030402001,35,40.441789,-79.966168
420030402001,31,40.441517,-79.967034
420030402001,24,40.438311,-79.973341
420030402001,12,40.439596,-79.965771
420030402001,12,40.438875,-79.975396
420030402001,5,40.438845,-79.973855
420030402002,583,40.442048,-79.959362
420030402002,387,40.439648,-79.963536
420030402002,165,40.441721,-79.965316
420030402002,99,40.440215,-79.963032
420030402002,84,40.440680,-79.962070
420030402002,58,40.441552,-79.964757
420030402002,55,40.439070,-79.965243
420030402002,41,40.442244,-79.964261
420030402002,18,40.442772,-79.960889
420030404001,434,40.446731,-79.947867
420030404001,110,40.445487,-79.949601
420030404001,48,40.445658,-79.947185
420030404001,46,40.446180,-79.947588
420030404001,24,40.444941,-79.947652
420030404001,13,40.445610,-79.947924
420030404001,10,40.446116,-79.948562
420030404002,638,40.448631,-79.948963
420030404002,387,40.448132,-79.950486
420030404002,322,40.447106,-79.951189
