stop_uuid,gtfs_stop_id,stop_name,lat,lon,wheelchair_boarding
0309f926-4654-47a4-93ae-8ae9032dbac5,3611,CHARTIERS AVE EXT + #1536,40.467038,-80.081807,0
031f0e0b-1a1d-406f-ad8e-cf491ed4d0eb,10010489,SALTSBURG RD + ALCOMA DR,40.477000615,-79.798261456,0
032312eb-ce05-4290-a015-d5f9459ff967,16346,EAST HILLS DR + #2340,40.455867,-79.870829,0
03304b47-cd47-40a3-afee-5b8db2bfab17,18844,LEBANON CHURCH RD + REGIS,40.347864999,-79.951382723,0
0332dd01-587a-4633-853f-423286b289fb,20943,JEFFERS ST + FADETTE ST,40.452097,-80.066031,0
03357388-499b-4692-bfc8-cb4ef09490fb,1386,OHIO RIVER BLVD + BIRMINGHAM AVE BRIDGE,40.499137,-80.071566,0
034466f4-f685-4a63-b21b-1986d75b3e74,11744,GREENSPRINGS AVE + DUQUESNE,40.391778322,-79.884736102,0
035d9280-9f61-4b95-89ea-9e970493095d,10371,WALNUT ST + 14TH,40.341186,-79.860977,0
035dacbf-012a-4e01-acae-45cb3d0c4e75,8466,HOMEWOOD AVE + KELLY,40.455679,-79.897008,0
03722927-af84-4329-8396-5b4149c1a290,21548,CUSTER AVE + EDWARD DR,40.395549,-79.968369,0
037ab086-6644-4eca-8052-d35757153ff6,2368,4TH AVE + LOCUST,40.521229,-80.17108,0
038084d6-2d4d-4b61-a639-6bbd71315993,18955,GREENFIELD AVE + LYDIA FS,40.425535,-79.942606,0
0388f180-1b4a-4eb6-be13-e5e95f7e57d2,6434,VANADIUM RD + VOLUNTEER FIRE COMPANY,40.374261,-80.092323,0
038f0158-641d-4cfe-8fdb-79c0bc312ebc,14601,CONNECTING RD + HAYMAKER RD,40.449637,-79.76173,0
03b4c3b6-20e0-4f64-bc21-588273834dbc,2728,MT TROY RD + BECKERT,40.47025,-79.982254,0
03c54e81-a46d-4f87-84dc-55b43291548a,1271,LINCOLN AVE + SHERIDAN AVE,40.495209,-80.054928,0
03c997df-e64e-45bf-955c-12385f4d6b42,2620,CHESTNUT ST + PROGRESS,40.453305,-79.992912,0
03c9e08a-f54c-4d78-bd32-171b16d6b46a,7220,MONONGAHELA AVE + CHURCH,40.421751,-79.890252,0
03d12e5d-c53a-4eb4-998b-ce4f09ccff94,7688,DALLAS AVE + EDGERTON,40.44764,-79.910896,0
