place,anchor,status,weekday_boardings,stops_now,stops_proposed,n_routes_now,n_routes_proposed,routes_now,routes_proposed,routes_kept,routes_lost,routes_gained
"Harmar township (Allegheny, PA)",Downtown,keeps,119.17,29,28,4,2,1;P10;P16;P78,1L;78,,1;P10;P16;P78,1L;78
"Harmar township (Allegheny, PA)",Oakland,none either way,119.17,29,28,0,0,,,,,
"Harrison township (Allegheny, PA)",Downtown,loses,11.73,37,32,1,0,P10,,,P10,
"Harrison township (Allegheny, PA)",Oakland,none either way,11.73,37,32,0,0,,,,,
Hays,Downtown,keeps,13.24,7,7,1,1,56,56,56,,
Hays,Oakland,keeps,13.24,7,7,1,1,56,56,56,,
"Haysville borough (Allegheny, PA)",Downtown,gains,0.19,1,1,0,1,,14,,,14
"Haysville borough (Allegheny, PA)",Oakland,none either way,0.19,1,1,0,0,,,,,
Hazelwood,Downtown,keeps,557.15,71,74,7,5,52L;53L;56;57;58;61C;65,53;56;57;58;61X,56;57;58,52L;53L;61C;65,53;61X
Hazelwood,Oakland,keeps,557.15,71,74,7,6,56;57;58;61C;61D;65;93,50;53;56;58;61X;93,56;58;93,57;61C;61D;65,50;53;61X
"Heidelberg borough (Allegheny, PA)",Downtown,keeps,17.67,10,10,2,1,31;G31,31,31,G31,
"Heidelberg borough (Allegheny, PA)",Oakland,none either way,17.67,10,10,0,0,,,,,
Highland Park,Downtown,keeps,227.85,23,28,2,3,71B;P10,1L;71X;92,,71B;P10,1L;71X;92
Highland Park,Oakland,keeps,227.85,23,28,3,3,71A;71B;75,71X;75;85,75,71A;71B,71X;85
"Homestead borough (Allegheny, PA)",Downtown,keeps,1115.3,35,34,4,3,52L;53L;57;61C,53;57;61X,57,52L;53L;61C,53;61X
"Homestead borough (Allegheny, PA)",Oakland,keeps,1115.3,35,34,3,3,57;61C;61D,50;53;61X,,57;61C;61D,50;53;61X
Homewood North,Downtown,keeps,268.01,30,34,4,2,77;82;86;P17,82;86,82;86,77;P17,
Homewood North,Oakland,keeps,268.01,30,34,2,1,77;82,82,82,77,
Homewood South,Downtown,keeps,696.27,44,42,12,9,77;86;P1;P12;P16;P67;P68;P69;P7;P71;P76;P78,52L;67;69;73L;76L;77L;78;86;P1,86;P1,77;P12;P16;P67;P68;P69;P7;P71;P76;P78,52L;67;69;73L;76L;77L;78
Homewood South,Oakland,keeps,696.27,44,42,3,2,71D;77;P3,72;P3,P3,71D;77,72
Homewood West,Downtown,keeps,88.96,21,19,5,3,77;82;86;P10;P17,1L;82;86,82;86,77;P10;P17,1L
Homewood West,Oakland,keeps,88.96,21,19,3,2,71D;77;82,72;82,82,71D;77,72
"Ingram borough (Allegheny, PA)",Downtown,keeps,231.04,29,26,7,7,26;27;28X;29;G2;G3;G31,23L;25;26;27;28X;29;G1,26;27;28X;29,G2;G3;G31,23L;25;G1
"Ingram borough (Allegheny, PA)",Oakland,keeps,231.04,29,26,1,1,28X,28X,28X,,
"Jefferson Hills borough (Allegheny, PA)",Downtown,keeps,67.09,44,44,2,1,Y1;Y46,46L,,Y1;Y46,46L
"Jefferson Hills borough (Allegheny, PA)",Oakland,none either way,67.09,44,44,0,0,,,,,
"Kennedy township (Allegheny, PA)",Downtown,keeps,139.38,66,30,3,2,20;22;24,22;24,22;24,20,
"Kennedy township (Allegheny, PA)",Oakland,none either way,139.38,66,30,0,0,,,,,
Knoxville,Downtown,keeps,324.71,29,14,3,2,44;51;51L,44;51,44;51,51L,
Knoxville,Oakland,keeps,324.71,29,14,1,1,54,45,,54,45
Larimer,Downtown,keeps,311.67,47,40,7,8,28X;77;82;86;88;P10;P17,1L;28X;80X;82;86;87;88;92,28X;82;86;88,77;P10;P17,1L;80X;87;92
Larimer,Oakland,keeps,311.67,47,40,5,5,28X;71C;75;77;82,28X;45;75;80X;82,28X;75;82,71C;77,45;80X
