day,klass,length_m,geometry
weekday,kept,20.0,"-80.02353,40.55855 -80.02362,40.55871"
weekday,kept,20.0,"-80.02381,40.55904 -80.0239,40.55921"
weekday,kept,40.0,"-80.02506,40.56155 -80.02515,40.56191"
weekday,kept,60.0,"-80.02515,40.5637 -80.02502,40.56423"
weekday,kept,40.0,"-80.02483,40.56493 -80.02473,40.56528"
weekday,kept,20.0,"-80.02453,40.56598 -80.02448,40.56616"
weekday,kept,60.0,"-80.02423,40.56704 -80.02409,40.56756"
weekday,kept,39.3,"-80.02394,40.56809 -80.02384,40.56844"
weekday,kept,60.0,"-80.02352,40.57216 -80.02365,40.57269"
weekday,kept,20.0,"-80.02385,40.57321 -80.02392,40.57338"
weekday,kept,20.0,"-80.02438,40.57421 -80.02448,40.57437"
weekday,kept,20.0,"-80.02467,40.5747 -80.02478,40.57486"
weekday,kept,20.0,"-80.02498,40.57518 -80.02508,40.57535"
weekday,kept,40.0,"-80.02571,40.57631 -80.02594,40.57662"
weekday,kept,20.0,"-80.02616,40.57694 -80.02627,40.5771"
weekday,kept,20.0,"-80.02765,40.57919 -80.02776,40.57935"
weekday,kept,20.0,"-80.02913,40.58144 -80.02924,40.5816"
weekday,kept,40.0,"-80.03112,40.58386 -80.03147,40.58411"
weekday,kept,889.2,"-80.03222,40.58454 -80.0337,40.58509 -80.03574,40.58555 -80.03588,40.58587 -80.03565,40.58656 -80.03507,40.58681 -80.03223,40.58679 -80.03129,40.58675 -80.03111,40.58653 -80.03064,40.58651"
weekday,kept,360.0,"-80.02362,40.57186 -80.02361,40.57007 -80.02396,40.56866"
weekday,kept,519.9,"-80.01928,40.55025 -80.01788,40.54719 -80.01695,40.54594"
weekday,kept,19.9,"-80.0073,40.52838 -80.00714,40.52825"
weekday,kept,20.0,"-80.00549,40.52353 -80.00549,40.52336"
weekday,kept,179.9,"-80.01258,40.49641 -80.01256,40.49551 -80.01227,40.49483"
weekday,kept,59.9,"-80.01092,40.49358 -80.01055,40.49313"
weekday,kept,20.0,"-80.01038,40.49279 -80.01033,40.49262"
weekday,kept,20.0,"-80.00537,40.52392 -80.00537,40.5241"
weekday,kept,20.0,"-80.01292,40.54195 -80.01303,40.54211"
weekday,kept,80.0,"-80.01693,40.54613 -80.01742,40.54675"
weekday,kept,20.0,"-80.01763,40.54707 -80.01774,40.54723"
weekday,kept,20.0,"-80.01913,40.55028 -80.0192,40.55045"
weekday,kept,20.0,"-80.01943,40.55096 -80.01951,40.55113"
weekday,kept,20.0,"-80.01974,40.55164 -80.01981,40.55181"
weekday,kept,20.0,"-80.02004,40.55232 -80.02012,40.55249"
weekday,kept,20.0,"-80.02056,40.55333 -80.02065,40.55349"
weekday,kept,20.0,"-80.02121,40.55448 -80.02131,40.55465"
weekday,kept,60.0,"-80.02368,40.56903 -80.02353,40.56956"
weekday,kept,60.0,"-80.02338,40.57063 -80.02338,40.57117"
weekday,kept,13276.0,"-80.03776,40.51752 -80.03865,40.51733 -80.03852,40.51626 -80.03832,40.51621 -80.03761,40.51628 -80.03747,40.51653 -80.0342,40.51668 -80.03105,40.51779 -80.03171,40.51825 -80.03432,40.51741 -80.03502,40.51736 -80.03571,40.51745 -80.03681,40.51811 -80.03786,40.52011 -80.03857,40.52057 -80.03927,40.52063 -80.0425,40.52013 -80.0433,40.51976 -80.04388,40.5192 -80.04415,40.51851 -80.04476,40.51531 -80.04557,40.51345 -80.0452,40.51186 -80.04542,40.51099 -80.04698,40.50817 -80.04976,40.50818 -80.0506,40.50788 -80.05094,40.50742 -80.05204,40.50467 -80.05434,40.50263 -80.0546,40.50157 -80.05445,40.50105 -80.05254,40.50001 -80.05555,40.49558 -80.04787,40.49175 -80.04781,40.49124 -80.04826,40.49083 -80.04815,40.49032 -80.04494,40.48721 -80.0405,40.48432 -80.0417,40.48198 -80.03962,40.47536 -80.03617,40.47065 -80.03523,40.46787 -80.03449,40.46618 -80.03209,40.46288 -80.03018,40.45695 -80.02985,40.45649 -80.02963,40.45643 -80.02931,40.45666 -80.02944,40.45735 -80.0276,40.45769 -80.02634,40.45411 -80.02616,40.45409 -80.01538,40.45609 -80.01459,40.45405 -80.01442,40.45401 -80.00662,40.45541"
weekday,kept,20.0,"-80.00697,40.45544 -80.00719,40.4554"
weekday,kept,496.3,"-80.02647,40.45403 -80.02827,40.45374 -80.02922,40.4567"
