current_route,draft2_route,final_route,category,related_routes,route_page
-,D18,18 Wexford,New,,https://engage.rideprt.org/buslineredesign/BLR-route-18
20 Kennedy--DISCONTINUED,-,-,Discontinued,"21 , 24 , 27",https://engage.rideprt.org/buslineredesign/BLR-route-20-discontinued
21,D21,21 Coraopolis,Modified,N/A,https://engage.rideprt.org/buslineredesign/BLR-route-21
22,D22,22 McCoy,Modified,N/A,https://engage.rideprt.org/buslineredesign/BLR-route-22
24,D24,24 West Park,Modified,N/A,https://engage.rideprt.org/buslineredesign/BLR-route-24
-,D25,25 Robinson,New,,https://engage.rideprt.org/buslineredesign/BLR-route-25
26,D26,26 Chartiers,Modified,"27 , G1",https://engage.rideprt.org/buslineredesign/BLR-route-26
27,D27,27 Fairywood,Modified,N/A,https://engage.rideprt.org/buslineredesign/BLR-route-27
29,D29,29 North Fayette,Modified,29S North Fayette Short (weekend service),https://engage.rideprt.org/buslineredesign/BLR-route-29
31,D31,31 Bridgeville,Modified,N/A,https://engage.rideprt.org/buslineredesign/BLR-route-31
-,N34,34 Carnegie - Brentwood,New,,https://engage.rideprt.org/buslineredesign/BLR-route-34
41,O35,35 Bower Hill - Oakland,Modified,35S Mt Lebanon-Oakland Short,https://engage.rideprt.org/buslineredesign/BLR-route-35
38,D38,38 Green Tree,Modified,N/A,https://engage.rideprt.org/buslineredesign/BLR-route-38
39,D39,39 Brookline,Modified,"34 , 35",https://engage.rideprt.org/buslineredesign/BLR-route-39
40,D40,40 Mount Washington,Modified,N/A,https://engage.rideprt.org/buslineredesign/BLR-route-40
43 Bailey--DISCONTINUED,-,-,Discontinued,40,https://engage.rideprt.org/buslineredesign/BLR-route-43-discontinued
44,D44,44 Knoxville,Modified,"45 , 51 , 51S",https://engage.rideprt.org/buslineredesign/BLR-route-44
-,O45,45 Carrick - Oakland - East Liberty,New,,https://engage.rideprt.org/buslineredesign/BLR-route-45
48,D48,48 Arlington,Modified,N/A,https://engage.rideprt.org/buslineredesign/BLR-route-48
Y49,D49,49 Prospect,Modified,N/A,https://engage.rideprt.org/buslineredesign/BLR-route-49
61D,O50,50 Homestead - Oakland,Modified,61X,https://engage.rideprt.org/buslineredesign/BLR-route-50
51,D51,51 Carrick,Modified,51S Carrick Short,https://engage.rideprt.org/buslineredesign/BLR-route-51
51L Carrick Limited--DISCONTINUED,-,-,Discontinued,"51 , 51S",https://engage.rideprt.org/buslineredesign/BLR-route-51L-discontinued
