place,anchor,origin_source,origin_points,origin_population,origin_centre_lat,origin_centre_lon,dest_lat,dest_lon,headline_current_median_min,headline_current_best_min,headline_current_worst_min,headline_current_reachable_fraction,headline_current_median_transfers,headline_current_median_wait_min,headline_proposed_median_min,headline_proposed_best_min,headline_proposed_worst_min,headline_proposed_reachable_fraction,headline_proposed_median_transfers,headline_proposed_median_wait_min,strict_current_median_min,strict_current_best_min,strict_current_worst_min,strict_current_reachable_fraction,strict_current_median_transfers,strict_current_median_wait_min,strict_proposed_median_min,strict_proposed_best_min,strict_proposed_worst_min,strict_proposed_reachable_fraction,strict_proposed_median_transfers,strict_proposed_median_wait_min,headline_current_origin_coverage_fraction,headline_current_dest_access_stops,headline_proposed_origin_coverage_fraction,headline_proposed_dest_access_stops,strict_current_origin_coverage_fraction,strict_current_dest_access_stops,strict_proposed_origin_coverage_fraction,strict_proposed_dest_access_stops,headline_classification,strict_classification,change_headline_min,change_strict_min,sign_flips_between_radii,spread_headline_min
"Edgewood borough (Allegheny, PA)",Downtown,residents,2,2348.0,40.431416,-79.886423,40.440773,-79.999105,42.0,30.7,64.9,1.0,1,9.0,47.0,29.7,61.5,1.0,1,7.6,47.0,30.7,70.0,1.0,1,10.3,47.7,29.7,64.5,1.0,0,8.9,1.0,42,1.0,38,1.0,42,1.0,38,comparable,comparable,5.0,0.7,False,0.6
"Edgewood borough (Allegheny, PA)",Oakland,residents,2,2348.0,40.431416,-79.886423,40.443719,-79.958853,44.0,35.0,57.0,1.0,0,5.3,43.4,36.4,54.7,1.0,0,6.3,44.0,35.0,57.0,1.0,0,5.3,44.4,36.4,54.7,1.0,0,5.3,1.0,14,1.0,11,1.0,14,1.0,11,comparable,comparable,-0.6,0.4,True,4.0
"Edgeworth borough (Allegheny, PA)",Downtown,residents,2,1669.0,40.552184,-80.192154,40.440773,-79.999105,83.3,58.3,108.3,1.0,1,29.0,101.5,71.5,133.5,1.0,0,27.7,83.3,58.3,108.3,1.0,1,29.0,101.5,71.5,133.5,1.0,0,27.7,1.0,42,1.0,38,1.0,42,1.0,38,comparable,comparable,18.2,18.2,False,1.0
"Edgeworth borough (Allegheny, PA)",Oakland,residents,2,1669.0,40.552184,-80.192154,40.443719,-79.958853,109.2,83.2,132.2,1.0,2,35.5,121.2,90.2,152.2,1.0,1,35.0,109.2,83.2,132.2,1.0,2,35.2,121.2,90.2,152.2,1.0,2,35.6,1.0,14,1.0,11,1.0,14,1.0,11,comparable,comparable,12.0,12.0,False,1.0
"Elizabeth borough (Allegheny, PA)",Downtown,residents,3,3464.0,40.267899,-79.879307,40.440773,-79.999105,,,,0.0,,,,,,0.0,,,,,,0.0,,,,,,0.0,,,0.0,42,0.0,38,0.0,42,0.0,38,no_origin_coverage,no_origin_coverage,,,,
"Elizabeth borough (Allegheny, PA)",Oakland,residents,3,3464.0,40.267899,-79.879307,40.443719,-79.958853,,,,0.0,,,,,,0.0,,,,,,0.0,,,,,,0.0,,,0.0,14,0.0,11,0.0,14,0.0,11,no_origin_coverage,no_origin_coverage,,,,
Elliott,Downtown,residents,2,2398.0,40.443407,-80.039157,40.440773,-79.999105,29.7,19.2,51.2,1.0,0,7.9,31.6,16.7,58.6,1.0,0,8.7,29.7,19.3,51.3,1.0,0,7.7,31.6,16.7,58.6,1.0,0,8.7,1.0,42,1.0,38,1.0,42,1.0,38,comparable,comparable,1.9,1.9,False,4.8
Elliott,Oakland,residents,2,2398.0,40.443407,-80.039157,40.443719,-79.958853,52.2,35.2,75.2,1.0,1,13.9,50.2,33.2,81.2,1.0,1,17.0,52.2,35.2,79.2,1.0,1,14.2,50.2,33.2,81.2,1.0,1,17.3,1.0,14,1.0,11,1.0,14,1.0,11,comparable,comparable,-2.0,-2.0,False,7.0
"Emsworth borough (Allegheny, PA)",Downtown,residents,3,3298.0,40.513446,-80.094161,40.440773,-79.999105,56.0,39.3,88.3,0.766,1,13.6,53.6,39.6,82.9,0.766,0,11.4,56.0,39.3,88.3,0.766,1,13.6,53.6,39.6,82.9,0.766,0,11.4,0.766,42,0.766,38,0.766,42,0.766,38,comparable,comparable,-2.4,-2.4,False,0.7
"Emsworth borough (Allegheny, PA)",Oakland,residents,3,3298.0,40.513446,-80.094161,40.443719,-79.958853,80.2,64.2,112.2,0.766,2,20.2,77.2,61.2,103.2,0.766,1,18.2,80.2,64.2,112.2,0.766,2,20.2,77.2,61.2,103.2,0.766,1,19.2,0.766,14,0.766,11,0.766,14,0.766,11,comparable,comparable,-3.0,-3.0,False,0.0
