place,anchor,origin_source,origin_points,origin_population,origin_centre_lat,origin_centre_lon,dest_lat,dest_lon,headline_current_median_min,headline_current_best_min,headline_current_worst_min,headline_current_reachable_fraction,headline_current_median_transfers,headline_current_median_wait_min,headline_proposed_median_min,headline_proposed_best_min,headline_proposed_worst_min,headline_proposed_reachable_fraction,headline_proposed_median_transfers,headline_proposed_median_wait_min,strict_current_median_min,strict_current_best_min,strict_current_worst_min,strict_current_reachable_fraction,strict_current_median_transfers,strict_current_median_wait_min,strict_proposed_median_min,strict_proposed_best_min,strict_proposed_worst_min,strict_proposed_reachable_fraction,strict_proposed_median_transfers,strict_proposed_median_wait_min,headline_current_origin_coverage_fraction,headline_current_dest_access_stops,headline_proposed_origin_coverage_fraction,headline_proposed_dest_access_stops,strict_current_origin_coverage_fraction,strict_current_dest_access_stops,strict_proposed_origin_coverage_fraction,strict_proposed_dest_access_stops,headline_classification,strict_classification,change_headline_min,change_strict_min,sign_flips_between_radii,spread_headline_min
"Sharpsburg borough (Allegheny, PA)",Downtown,residents,7,7147.0,40.500759,-79.922602,40.440773,-79.999105,44.5,31.9,56.5,0.446,0,4.4,40.7,27.7,52.7,0.446,0,7.2,44.5,31.9,56.5,0.446,0,4.4,40.7,27.7,52.7,0.446,0,7.8,0.446,42,0.446,38,0.446,42,0.446,38,comparable,comparable,-3.8,-3.8,False,2.0
"Sharpsburg borough (Allegheny, PA)",Oakland,residents,7,7147.0,40.500759,-79.922602,40.443719,-79.958853,58.0,39.0,74.0,0.446,1,11.3,54.7,42.7,71.4,0.446,1,14.2,58.2,39.0,74.0,0.446,1,12.0,58.4,44.4,73.4,0.446,2,14.8,0.446,14,0.446,11,0.446,14,0.446,11,comparable,comparable,-3.3,0.2,True,4.3
Sheraden,Downtown,residents,6,5469.0,40.455801,-80.057626,40.440773,-79.999105,38.2,22.7,63.2,0.833,0,6.4,41.6,21.6,69.6,0.833,1,11.2,38.3,22.7,63.3,0.833,0,6.4,43.3,21.6,71.3,0.833,0,10.3,1.0,42,1.0,38,1.0,42,1.0,38,comparable,comparable,3.4,5.0,False,9.1
Sheraden,Oakland,residents,6,5469.0,40.455801,-80.057626,40.443719,-79.958853,60.2,37.2,86.2,0.833,1,14.2,59.2,31.2,90.2,0.833,2,16.2,60.2,37.2,90.2,0.833,1,15.2,63.2,31.2,95.2,0.833,1,19.8,1.0,14,1.0,11,1.0,14,1.0,11,comparable,comparable,-1.0,3.0,True,4.0
South Oakland,Downtown,residents,5,5380.0,40.434971,-79.95616,40.440773,-79.999105,28.0,19.0,55.0,0.666,0,4.5,28.9,13.5,54.2,1.0,0,6.0,28.0,19.0,58.0,0.666,0,4.5,29.9,13.5,57.2,1.0,0,6.6,0.666,42,1.0,38,0.666,42,1.0,38,comparable,comparable,0.9,1.9,False,4.6
"South Park township (Allegheny, PA)",Downtown,residents,2,2451.0,40.315274,-79.988002,40.440773,-79.999105,76.2,57.2,96.2,0.209,0,13.7,,,,0.0,,,76.2,57.2,96.2,0.209,0,13.7,,,,0.0,,,0.627,42,0.0,38,0.627,42,0.0,38,no_origin_coverage,no_origin_coverage,,,,
"South Park township (Allegheny, PA)",Oakland,residents,2,2451.0,40.315274,-79.988002,40.443719,-79.958853,101.2,82.2,121.2,0.209,2,23.5,,,,0.0,,,101.2,82.2,121.2,0.209,2,23.5,,,,0.0,,,0.627,14,0.0,11,0.627,14,0.0,11,no_origin_coverage,no_origin_coverage,,,,
South Shore,Downtown,residents,1,29.0,40.431565,-80.00213,40.440773,-79.999105,12.4,9.4,16.4,1.0,0,2.0,12.4,8.4,19.4,1.0,0,1.9,12.4,9.4,16.4,1.0,0,2.0,12.4,8.4,19.4,1.0,0,1.9,1.0,42,1.0,38,1.0,42,1.0,38,comparable,comparable,0.0,0.0,False,
South Shore,Oakland,residents,1,29.0,40.431565,-80.00213,40.443719,-79.958853,38.2,31.2,45.2,1.0,1,6.4,31.2,23.2,40.0,1.0,1,6.5,39.2,31.2,47.2,1.0,1,6.9,31.2,23.2,40.0,1.0,1,6.5,1.0,14,1.0,11,1.0,14,1.0,11,comparable,comparable,-7.0,-8.0,False,
South Side Flats,Downtown,residents,7,7467.0,40.427602,-79.976773,40.440773,-79.999105,23.4,13.4,49.5,1.0,0,4.3,26.4,10.4,40.4,1.0,0,5.6,23.4,13.4,49.5,1.0,0,4.3,26.4,10.4,44.4,1.0,0,6.3,1.0,42,1.0,38,1.0,42,1.0,38,comparable,comparable,3.0,3.0,False,8.6
South Side Flats,Oakland,residents,7,7467.0,40.427602,-79.976773,40.443719,-79.958853,27.2,18.2,46.2,1.0,0,5.6,26.0,19.0,49.2,1.0,0,4.8,27.2,18.2,48.2,1.0,0,5.6,26.0,19.0,49.2,1.0,0,4.8,1.0,14,1.0,11,1.0,14,1.0,11,comparable,comparable,-1.2,-1.2,False,7.0
South Side Slopes,Downtown,residents,4,4327.0,40.421596,-79.975735,40.440773,-79.999105,33.4,22.4,56.5,1.0,0,5.3,35.4,18.4,47.4,1.0,0,6.9,33.4,22.4,56.5,1.0,0,5.3,35.4,18.4,50.0,1.0,0,6.9,1.0,42,1.0,38,1.0,42,1.0,38,comparable,comparable,2.0,2.0,False,6.0
South Side Slopes,Oakland,residents,4,4327.0,40.421596,-79.975735,40.443719,-79.958853,40.3,22.2,66.2,1.0,1,9.5,38.2,23.2,52.2,1.0,1,10.9,41.2,22.2,66.2,1.0,1,10.3,38.2,23.2,53.2,1.0,1,10.8,1.0,14,1.0,11,1.0,14,1.0,11,comparable,comparable,-2.1,-3.0,False,13.8
Spring Garden,Downtown,residents,1,1068.0,40.461328,-79.986382,40.440773,-79.999105,40.2,23.2,66.9,1.0,0,14.2,35.3,23.9,63.9,1.0,0,10.8,42.2,23.2,67.2,1.0,0,18.2,37.9,23.9,63.9,1.0,0,11.2,1.0,42,1.0,38,1.0,42,1.0,38,comparable,comparable,-4.9,-4.3,False,
Spring Garden,Oakland,residents,1,1068.0,40.461328,-79.986382,40.443719,-79.958853,64.2,47.2,91.2,1.0,1,21.1,56.2,41.2,81.2,1.0,1,16.8,73.2,52.2,99.0,1.0,2,29.2,60.2,41.2,91.2,1.0,2,20.7,1.0,14,1.0,11,1.0,14,1.0,11,comparable,comparable,-8.0,-13.0,False,
Spring Hill-City View,Downtown,residents,4,3150.0,40.465787,-79.992471,40.440773,-79.999105,37.2,23.9,57.9,1.0,0,9.1,37.9,20.3,55.9,1.0,0,10.9,37.2,23.9,57.9,1.0,0,9.1,37.9,20.3,55.9,1.0,0,10.9,1.0,42,1.0,38,1.0,42,1.0,38,comparable,comparable,0.7,0.7,False,4.3
Spring Hill-City View,Oakland,residents,4,3150.0,40.465787,-79.992471,40.443719,-79.958853,63.2,47.2,84.2,1.0,1,14.6,58.2,41.2,75.2,1.0,1,15.1,64.2,47.2,87.1,1.0,1,15.9,58.2,41.2,75.2,1.0,1,15.1,1.0,14,1.0,11,1.0,14,1.0,11,comparable,comparable,-5.0,-6.0,False,5.0
"Springdale borough (Allegheny, PA)",Downtown,residents,5,4109.0,40.544264,-79.784171,40.440773,-79.999105,75.9,51.7,106.9,0.679,0,13.1,82.7,63.4,113.5,0.679,0,11.2,75.9,51.7,106.9,0.679,0,13.1,82.7,63.4,113.7,0.679,0,11.9,0.679,42,0.679,38,0.679,42,0.679,38,comparable,comparable,6.8,6.8,False,1.0
"Springdale borough (Allegheny, PA)",Oakland,residents,5,4109.0,40.544264,-79.784171,40.443719,-79.958853,90.0,63.0,131.0,0.679,2,21.1,82.4,65.4,114.4,0.679,1,14.9,90.0,64.0,131.0,0.679,2,22.7,84.4,65.4,114.4,0.679,1,14.9,0.679,14,0.679,11,0.679,14,0.679,11,comparable,comparable,-7.6,-5.6,False,1.0
"Springdale township (Allegheny, PA)",Downtown,residents,1,686.0,40.542971,-79.749478,40.440773,-79.999105,,,,0.0,,,,,,0.0,,,,,,0.0,,,,,,0.0,,,0.0,42,0.0,38,0.0,42,0.0,38,no_origin_coverage,no_origin_coverage,,,,
"Springdale township (Allegheny, PA)",Oakland,residents,1,686.0,40.542971,-79.749478,40.443719,-79.958853,,,,0.0,,,,,,0.0,,,,,,0.0,,,,,,0.0,,,0.0,14,0.0,11,0.0,14,0.0,11,no_origin_coverage,no_origin_coverage,,,,
Squirrel Hill North,Downtown,residents,11,12641.0,40.444306,-79.931177,40.440773,-79.999105,35.9,27.0,62.0,1.0,0,3.7,31.5,17.5,52.5,1.0,0,5.2,36.7,27.0,69.0,1.0,0,3.2,31.5,17.5,52.5,1.0,0,5.2,1.0,42,1.0,38,1.0,42,1.0,38,comparable,comparable,-4.4,-5.2,False,7.0
Squirrel Hill North,Oakland,residents,11,12641.0,40.444306,-79.931177,40.443719,-79.958853,21.0,13.0,59.0,1.0,0,2.7,20.4,11.4,40.4,1.0,0,2.2,21.0,13.0,59.0,1.0,0,2.7,20.4,11.4,40.4,1.0,0,2.2,1.0,14,1.0,11,1.0,14,1.0,11,comparable,comparable,-0.6,-0.6,False,11.3
Squirrel Hill South,Downtown,residents,9,12376.0,40.431737,-79.922507,40.440773,-79.999105,43.1,30.1,83.7,1.0,1,8.2,38.5,26.5,79.5,1.0,1,8.0,44.1,30.1,83.7,1.0,1,9.8,39.5,26.5,86.5,1.0,1,8.5,1.0,42,1.0,38,1.0,42,1.0,38,comparable,comparable,-4.6,-4.6,False,10.0
Squirrel Hill South,Oakland,residents,9,12376.0,40.431737,-79.922507,40.443719,-79.958853,30.2,19.0,74.0,1.0,0,4.2,28.4,18.4,71.4,1.0,0,4.6,30.2,19.0,74.0,1.0,0,4.3,28.4,18.4,72.4,1.0,0,4.7,1.0,14,1.0,11,1.0,14,1.0,11,comparable,comparable,-1.8,-1.8,False,13.2
St. Clair,Downtown,stops,1,,40.410562,-79.973745,40.440773,-79.999105,56.4,34.4,78.4,1.0,0,17.1,46.4,31.4,61.4,1.0,0,15.0,56.4,34.4,92.4,1.0,0,20.6,46.4,31.4,61.4,1.0,0,15.0,1.0,42,1.0,38,1.0,42,1.0,38,comparable,comparable,-10.0,-10.0,False,
St. Clair,Oakland,stops,1,,40.410562,-79.973745,40.443719,-79.958853,70.2,43.2,92.2,1.0,1,23.5,53.2,39.2,68.2,1.0,1,18.9,70.2,43.2,109.2,1.0,1,30.6,66.2,52.2,81.2,1.0,1,19.3,1.0,14,1.0,11,1.0,14,1.0,11,comparable,comparable,-17.0,-4.0,False,
Stanton Heights,Downtown,residents,3,3643.0,40.481893,-79.938132,40.440773,-79.999105,60.0,42.9,80.7,1.0,1,17.9,47.7,31.7,63.7,1.0,0,13.6,60.0,42.9,80.9,1.0,0,16.9,47.7,31.7,63.7,1.0,0,13.6,1.0,42,1.0,38,1.0,42,1.0,38,comparable,comparable,-12.3,-12.3,False,2.0
Stanton Heights,Oakland,residents,3,3643.0,40.481893,-79.938132,40.443719,-79.958853,61.0,39.0,81.0,1.0,1,20.1,52.7,40.4,67.4,1.0,1,13.9,61.0,39.0,81.0,1.0,1,21.4,55.7,42.4,72.7,1.0,1,15.6,1.0,14,1.0,11,1.0,14,1.0,11,comparable,comparable,-8.3,-5.3,False,1.0
"Stowe township (Allegheny, PA)",Downtown,residents,7,6426.0,40.477054,-80.075008,40.440773,-79.999105,44.2,27.2,67.2,0.825,0,10.2,42.3,25.3,68.3,0.825,0,10.6,44.3,27.3,67.3,0.825,0,10.2,42.3,25.3,68.3,0.825,0,10.6,0.906,42,0.906,38,0.906,42,0.906,38,comparable,comparable,-1.9,-2.0,False,2.0
"Stowe township (Allegheny, PA)",Oakland,residents,7,6426.0,40.477054,-80.075008,40.443719,-79.958853,68.2,48.2,94.2,0.825,1,18.2,61.2,41.2,90.2,0.825,1,17.4,68.2,48.2,99.2,0.825,1,19.7,61.2,41.2,90.2,0.825,1,17.6,0.906,14,0.906,11,0.906,14,0.906,11,comparable,comparable,-7.0,-7.0,False,4.0
Strip District,Downtown,residents,1,1845.0,40.456719,-79.97972,40.440773,-79.999105,22.5,18.5,31.5,1.0,0,3.0,16.7,12.7,27.7,1.0,0,3.0,22.5,18.5,31.5,1.0,0,3.0,16.7,12.7,27.7,1.0,0,3.0,1.0,42,1.0,38,1.0,42,1.0,38,comparable,comparable,-5.8,-5.8,False,
Strip District,Oakland,residents,1,1845.0,40.456719,-79.97972,40.443719,-79.958853,41.2,33.0,49.2,1.0,0,5.8,36.7,31.7,45.7,1.0,0,5.2,42.0,33.0,51.0,1.0,0,7.2,36.7,31.7,45.7,1.0,0,6.6,1.0,14,1.0,11,1.0,14,1.0,11,comparable,comparable,-4.5,-5.3,False,
Summer Hill,Downtown,residents,1,998.0,40.494512,-80.009769,40.440773,-79.999105,41.6,24.6,62.9,1.0,0,10.2,47.9,24.9,78.9,1.0,0,21.2,42.2,24.6,62.9,1.0,0,10.2,47.9,24.9,78.9,1.0,0,21.2,1.0,42,1.0,38,1.0,42,1.0,38,comparable,comparable,6.3,5.7,False,
Summer Hill,Oakland,residents,1,998.0,40.494512,-80.009769,40.443719,-79.958853,68.2,51.2,91.0,1.0,1,15.2,69.2,45.2,104.2,1.0,1,26.0,70.2,51.2,91.0,1.0,1,17.8,72.2,45.2,104.2,1.0,2,32.0,1.0,14,1.0,11,1.0,14,1.0,11,comparable,comparable,1.0,2.0,False,
Swisshelm Park,Downtown,residents,1,1339.0,40.421479,-79.903142,40.440773,-79.999105,62.9,42.9,82.9,1.0,0,20.4,59.2,47.7,75.7,1.0,1,12.3,63.0,43.0,83.0,1.0,1,22.4,59.5,50.2,78.5,1.0,1,11.6,1.0,42,1.0,38,1.0,42,1.0,38,comparable,comparable,-3.7,-3.5,False,
Swisshelm Park,Oakland,residents,1,1339.0,40.421479,-79.903142,40.443719,-79.958853,62.0,43.0,86.0,1.0,1,19.8,56.4,42.2,73.4,1.0,1,14.8,62.0,43.0,86.0,1.0,1,21.0,56.4,42.2,73.4,1.0,1,17.2,1.0,14,1.0,11,1.0,14,1.0,11,comparable,comparable,-5.6,-5.6,False,
"Swissvale borough (Allegheny, PA)",Downtown,residents,10,7676.0,40.422083,-79.887228,40.440773,-79.999105,46.0,31.0,77.9,0.997,1,7.5,48.7,31.7,77.7,0.997,0,6.8,47.0,31.0,78.0,0.997,1,8.2,49.5,31.7,80.5,0.997,0,6.8,0.997,42,0.997,38,0.997,42,0.997,38,comparable,comparable,2.7,2.5,False,7.5
"Swissvale borough (Allegheny, PA)",Oakland,residents,10,7676.0,40.422083,-79.887228,40.443719,-79.958853,45.0,31.0,81.0,0.997,0,6.8,43.7,32.4,75.4,0.997,0,7.1,46.0,31.0,81.0,0.997,0,6.9,44.4,32.4,75.4,0.997,0,6.8,0.997,14,0.997,11,0.997,14,0.997,11,comparable,comparable,-1.3,-1.6,False,4.0
"Tarentum borough (Allegheny, PA)",Downtown,residents,7,6901.0,40.598764,-79.753899,40.440773,-79.999105,98.9,60.0,128.9,0.434,0,13.0,134.5,79.4,183.5,0.709,2,31.0,98.9,60.0,128.9,0.434,0,13.0,134.7,79.4,183.7,0.709,2,36.2,0.506,42,0.709,38,0.506,42,0.709,38,comparable,comparable,35.6,35.8,False,67.3
"Tarentum borough (Allegheny, PA)",Oakland,residents,7,6901.0,40.598764,-79.753899,40.443719,-79.958853,114.0,71.0,153.0,0.434,1,20.4,131.4,81.4,184.4,0.709,2,31.3,114.0,72.0,153.0,0.434,1,22.2,134.4,81.4,184.4,0.709,2,34.3,0.506,14,0.709,11,0.506,14,0.709,11,comparable,comparable,17.4,20.4,False,68.0
Terrace Village,Downtown,residents,4,3364.0,40.441911,-79.969785,40.440773,-79.999105,27.0,18.4,48.4,1.0,0,3.8,24.4,15.4,37.5,1.0,0,4.5,27.0,18.4,48.4,1.0,0,3.8,24.4,15.4,37.5,1.0,0,4.5,1.0,42,1.0,38,1.0,42,1.0,38,comparable,comparable,-2.6,-2.6,False,3.0
Terrace Village,Oakland,residents,4,3364.0,40.441911,-79.969785,40.443719,-79.958853,21.1,9.1,39.6,1.0,0,4.1,18.7,9.7,38.6,1.0,0,3.9,22.5,9.1,42.2,1.0,0,5.1,18.7,9.7,41.7,1.0,0,4.1,1.0,14,1.0,11,1.0,14,1.0,11,comparable,comparable,-2.4,-3.8,False,1.6
"Trafford borough (Allegheny, PA)",Downtown,residents,2,2602.0,40.402486,-79.750936,40.440773,-79.999105,,,,0.0,,,,,,0.0,,,,,,0.0,,,,,,0.0,,,0.0,42,0.0,38,0.0,42,0.0,38,no_origin_coverage,no_origin_coverage,,,,
"Trafford borough (Allegheny, PA)",Oakland,residents,2,2602.0,40.402486,-79.750936,40.443719,-79.958853,,,,0.0,,,,,,0.0,,,,,,0.0,,,,,,0.0,,,0.0,14,0.0,11,0.0,14,0.0,11,no_origin_coverage,no_origin_coverage,,,,
"Trafford borough (Westmoreland, PA)",Downtown,residents,4,3291.0,40.385372,-79.754429,40.440773,-79.999105,95.0,60.0,136.0,0.533,2,29.2,,,,0.0,,,95.0,60.0,136.0,0.533,2,30.5,,,,0.0,,,0.533,42,0.0,38,0.533,42,0.0,38,no_origin_coverage,no_origin_coverage,,,,
"Trafford borough (Westmoreland, PA)",Oakland,residents,4,3291.0,40.385372,-79.754429,40.443719,-79.958853,97.0,67.0,125.0,0.533,0,26.5,,,,0.0,,,97.0,67.0,125.0,0.533,0,26.5,,,,0.0,,,0.533,14,0.0,11,0.533,14,0.0,11,no_origin_coverage,no_origin_coverage,,,,
Troy Hill,Downtown,residents,1,1577.0,40.463279,-79.983408,40.440773,-79.999105,33.9,19.2,59.9,1.0,0,8.6,28.9,20.3,42.3,1.0,0,5.6,33.9,19.2,59.9,1.0,0,7.6,28.9,20.3,42.3,1.0,0,5.6,1.0,42,1.0,38,1.0,42,1.0,38,comparable,comparable,-5.0,-5.0,False,
Troy Hill,Oakland,residents,1,1577.0,40.463279,-79.983408,40.443719,-79.958853,58.2,44.2,84.2,1.0,1,17.0,49.2,36.7,67.2,1.0,1,11.2,64.0,49.0,86.0,1.0,1,18.9,51.2,36.7,67.2,1.0,1,15.7,1.0,14,1.0,11,1.0,14,1.0,11,comparable,comparable,-9.0,-12.8,False,
"Turtle Creek borough (Allegheny, PA)",Downtown,residents,6,6167.0,40.411198,-79.821773,40.440773,-79.999105,70.7,47.0,130.7,0.829,1,15.0,81.0,53.5,109.5,0.829,1,15.6,70.7,47.0,130.7,0.829,1,15.3,81.0,53.5,109.5,0.829,1,17.5,0.829,42,0.829,38,0.829,42,0.829,38,comparable,comparable,10.3,10.3,False,3.1
"Turtle Creek borough (Allegheny, PA)",Oakland,residents,6,6167.0,40.411198,-79.821773,40.443719,-79.958853,78.0,54.0,130.0,0.829,1,14.3,84.4,59.4,121.4,0.829,1,25.4,78.0,54.0,130.0,0.829,1,13.8,84.4,59.4,121.4,0.829,1,26.3,0.829,14,0.829,11,0.829,14,0.829,11,comparable,comparable,6.4,6.4,False,7.0
Upper Hill,Downtown,residents,2,1723.0,40.452912,-79.959588,40.440773,-79.999105,34.4,23.4,54.0,1.0,0,5.3,31.4,21.4,46.4,1.0,0,6.9,34.4,23.4,54.0,1.0,0,5.3,31.4,21.4,46.4,1.0,0,6.9,1.0,42,1.0,38,1.0,42,1.0,38,comparable,comparable,-3.0,-3.0,False,2.0
Upper Hill,Oakland,residents,2,1723.0,40.452912,-79.959588,40.443719,-79.958853,31.0,16.5,57.0,1.0,0,7.9,30.5,16.5,50.5,1.0,0,9.2,31.0,16.5,57.0,1.0,0,7.9,31.4,16.5,50.5,1.0,0,10.2,1.0,14,1.0,11,1.0,14,1.0,11,comparable,comparable,-0.5,0.4,True,6.4
Upper Lawrenceville,Downtown,residents,3,2394.0,40.48037,-79.951355,40.440773,-79.999105,40.5,30.5,49.5,1.0,0,6.0,33.7,23.7,47.7,1.0,0,5.1,40.5,30.5,49.5,1.0,0,5.7,33.7,23.7,47.7,1.0,0,5.1,1.0,42,1.0,38,1.0,42,1.0,38,comparable,comparable,-6.8,-6.8,False,2.0
Upper Lawrenceville,Oakland,residents,3,2394.0,40.48037,-79.951355,40.443719,-79.958853,46.0,29.0,63.0,1.0,0,9.8,41.4,24.4,61.7,1.0,0,8.1,47.0,29.0,64.2,1.0,0,10.0,41.7,24.4,64.7,1.0,0,9.0,1.0,14,1.0,11,1.0,14,1.0,11,comparable,comparable,-4.6,-5.3,False,0.3
"Upper St. Clair township (Allegheny, PA)",Downtown,residents,2,2634.0,40.344862,-80.094579,40.440773,-79.999105,,,,0.0,,,,,,0.0,,,,,,0.0,,,,,,0.0,,,0.0,42,0.0,38,0.0,42,0.0,38,no_origin_coverage,no_origin_coverage,,,,
"Upper St. Clair township (Allegheny, PA)",Oakland,residents,2,2634.0,40.344862,-80.094579,40.443719,-79.958853,,,,0.0,,,,,,0.0,,,,,,0.0,,,,,,0.0,,,0.0,14,0.0,11,0.0,14,0.0,11,no_origin_coverage,no_origin_coverage,,,,
"Verona borough (Allegheny, PA)",Downtown,residents,3,2492.0,40.505098,-79.840067,40.440773,-79.999105,69.0,49.0,138.0,1.0,0,13.1,70.0,52.4,91.0,0.713,1,12.1,69.0,49.0,138.0,1.0,0,13.1,70.0,52.4,91.0,0.713,1,12.1,1.0,42,1.0,38,1.0,42,1.0,38,comparable,comparable,1.0,1.0,False,0.5
"Verona borough (Allegheny, PA)",Oakland,residents,3,2492.0,40.505098,-79.840067,40.443719,-79.958853,79.0,56.0,150.0,1.0,1,19.4,74.4,59.4,98.4,0.713,1,20.6,80.0,56.0,150.0,1.0,1,21.4,74.4,59.4,98.4,0.713,1,20.6,1.0,14,1.0,11,1.0,14,1.0,11,comparable,comparable,-4.6,-5.6,False,0.0
"Versailles borough (Allegheny, PA)",Downtown,residents,2,3086.0,40.311131,-79.826517,40.440773,-79.999105,135.1,77.0,173.1,0.478,3,61.1,,,,0.0,,,135.1,77.0,173.1,0.478,3,62.8,,,,0.0,,,0.478,42,0.478,38,0.478,42,0.478,38,no_journey,no_journey,,,,
"Versailles borough (Allegheny, PA)",Oakland,residents,2,3086.0,40.311131,-79.826517,40.443719,-79.958853,135.0,93.0,166.0,0.478,2,55.9,,,,0.0,,,135.0,98.0,166.0,0.478,2,57.6,,,,0.0,,,0.478,14,0.478,11,0.478,14,0.478,11,no_journey,no_journey,,,,
West End,Downtown,stops,1,,40.441707,-80.03399,40.440773,-79.999105,22.2,15.2,30.2,1.0,0,4.1,19.3,12.7,36.6,1.0,0,4.0,22.2,15.3,30.3,1.0,0,4.1,19.3,12.7,36.6,1.0,0,4.0,1.0,42,1.0,38,1.0,42,1.0,38,comparable,comparable,-2.9,-2.9,False,
West End,Oakland,stops,1,,40.441707,-80.03399,40.443719,-79.958853,45.2,31.2,58.2,1.0,1,11.3,40.2,29.2,54.2,1.0,1,11.5,46.2,31.2,58.2,1.0,1,12.0,41.2,29.2,54.2,1.0,1,12.0,1.0,14,1.0,11,1.0,14,1.0,11,comparable,comparable,-5.0,-5.0,False,
"West Homestead borough (Allegheny, PA)",Downtown,stops,1,,40.405745,-79.919736,40.440773,-79.999105,46.1,33.1,57.1,1.0,1,13.9,59.5,46.9,68.5,1.0,1,16.2,46.1,33.1,57.1,1.0,1,14.1,59.5,46.9,68.5,1.0,1,16.2,1.0,42,1.0,38,1.0,42,1.0,38,comparable,comparable,13.4,13.4,False,
"West Homestead borough (Allegheny, PA)",Oakland,stops,1,,40.405745,-79.919736,40.443719,-79.958853,47.0,38.0,55.0,1.0,0,6.1,50.4,37.4,58.4,1.0,0,9.1,47.0,38.0,55.0,1.0,0,6.1,50.4,37.4,58.4,1.0,0,9.1,1.0,14,1.0,11,1.0,14,1.0,11,comparable,comparable,3.4,3.4,False,
"West Mifflin borough (Allegheny, PA)",Downtown,residents,15,16625.0,40.366747,-79.895706,40.440773,-79.999105,68.1,38.1,117.0,0.713,0,17.1,72.7,43.7,111.9,0.513,1,14.0,68.1,38.1,117.0,0.713,0,18.0,72.7,43.7,111.9,0.513,1,14.4,0.793,42,0.615,38,0.793,42,0.615,38,comparable,comparable,4.6,4.6,False,17.6
"West Mifflin borough (Allegheny, PA)",Oakland,residents,15,16625.0,40.366747,-79.895706,40.443719,-79.958853,80.0,55.0,132.2,0.713,1,19.9,71.7,50.4,127.2,0.513,1,15.0,81.0,55.0,132.2,0.713,1,20.5,72.4,50.4,127.2,0.513,1,15.4,0.793,14,0.615,11,0.793,14,0.615,11,comparable,comparable,-8.3,-8.6,False,19.8
West Oakland,Downtown,residents,2,1493.0,40.44106,-79.962096,40.440773,-79.999105,25.0,18.1,52.1,1.0,0,2.5,24.5,15.9,51.9,1.0,0,3.4,25.0,18.1,52.1,1.0,0,2.5,24.5,15.9,54.9,1.0,0,2.4,1.0,42,1.0,38,1.0,42,1.0,38,comparable,comparable,-0.5,-0.5,False,3.3
"West View borough (Allegheny, PA)",Downtown,residents,12,13745.0,40.522032,-80.034256,40.440773,-79.999105,54.9,32.6,71.9,0.428,0,7.1,56.9,42.9,111.6,0.486,0,9.9,54.9,32.6,71.9,0.428,0,7.1,56.9,42.9,111.6,0.486,0,9.9,0.428,42,0.486,38,0.428,42,0.486,38,comparable,comparable,2.0,2.0,False,5.3
"West View borough (Allegheny, PA)",Oakland,residents,12,13745.0,40.522032,-80.034256,40.443719,-79.958853,79.2,55.2,99.2,0.428,1,12.6,77.2,56.2,135.2,0.486,1,16.0,83.2,55.2,100.2,0.428,2,17.0,78.2,56.2,135.2,0.486,1,17.1,0.428,14,0.486,11,0.428,14,0.486,11,comparable,comparable,-2.0,-5.0,False,2.0
Westwood,Downtown,residents,2,3722.0,40.432289,-80.050049,40.440773,-79.999105,55.7,37.7,75.7,0.616,0,16.4,51.3,32.7,66.7,0.616,0,12.7,55.7,37.7,75.7,0.616,0,16.4,51.3,32.7,66.7,0.616,0,12.7,0.616,42,0.616,38,0.616,42,0.616,38,comparable,comparable,-4.4,-4.4,False,
Westwood,Oakland,residents,2,3722.0,40.432289,-80.050049,40.443719,-79.958853,79.2,55.2,102.2,0.616,1,21.5,69.2,46.2,90.2,0.616,1,19.4,79.2,55.2,102.2,0.616,1,21.5,69.2,46.2,90.2,0.616,1,19.4,0.616,14,0.616,11,0.616,14,0.616,11,comparable,comparable,-10.0,-10.0,False,
"Whitaker borough (Allegheny, PA)",Downtown,residents,1,1179.0,40.399038,-79.888739,40.440773,-79.999105,53.1,33.1,76.1,1.0,0,11.1,57.7,39.7,86.9,1.0,0,14.1,53.1,33.1,76.1,1.0,0,13.1,57.7,39.7,86.9,1.0,0,14.1,1.0,42,1.0,38,1.0,42,1.0,38,comparable,comparable,4.6,4.6,False,
"Whitaker borough (Allegheny, PA)",Oakland,residents,1,1179.0,40.399038,-79.888739,40.443719,-79.958853,64.0,49.0,79.0,1.0,1,11.7,60.4,46.4,76.7,1.0,1,17.1,64.0,49.0,79.0,1.0,1,11.7,60.4,46.4,76.7,1.0,1,17.1,1.0,14,1.0,11,1.0,14,1.0,11,comparable,comparable,-3.6,-3.6,False,
"White Oak borough (Allegheny, PA)",Downtown,residents,5,5794.0,40.342043,-79.808986,40.440773,-79.999105,72.0,60.0,89.0,0.09,0,12.6,,,,0.0,,,72.0,60.0,89.0,0.09,0,12.6,,,,0.0,,,0.208,42,0.0,38,0.208,42,0.0,38,no_origin_coverage,no_origin_coverage,,,,
"White Oak borough (Allegheny, PA)",Oakland,residents,5,5794.0,40.342043,-79.808986,40.443719,-79.958853,85.0,70.0,99.0,0.09,1,16.3,,,,0.0,,,88.0,70.0,102.0,0.09,1,21.9,,,,0.0,,,0.208,14,0.0,11,0.208,14,0.0,11,no_origin_coverage,no_origin_coverage,,,,
